source,name,price,revenue,profit,description,url
Quietlight,Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE,"$20,299,000","$17,442,054","$530,000","Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE Accepting Offers Revenue: $17,442,054 Income: $2,566,134 Amazon FBA Crown Jewel Amazon FBA Asset | $3.3M TTM SDE | 146% YOY Growth + Significant Potential Growth Opps Asking P",https://quietlight.com/listings/16065383/
Quietlight,Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE,"$17,442,054","$17,442,054",,"Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE Accepting Offers Revenue: $17,442,054 Income: $2,566,134 Amazon FBA",https://quietlight.com/listings/16065383/
Quietlight,Crown Jewel Amazon FBA Asset | $3.3M TTM SDE | 146% YOY Growth + Significant Potential Growth Opps,"$20,299,000","$16,973,677",,"Crown Jewel Amazon FBA Asset | $3.3M TTM SDE | 146% YOY Growth + Significant Potential Growth Opps Asking Price $20,299,000 Revenue: $16,973,677 Income: $3,340,187 Amazon FBA",https://quietlight.com/amazon-fba-businesses-for-sale/
BizQuest,"Save $650,000 Cash Flow: $323,700HVAC Business in the Outer BanksCurrituck County, NCHighly Profitable Outer Banks HVAC Business - YoY Growth$650,000 Cash Flow: $323,700Contact","$650,000",,"$323,700","Save $650,000 Cash Flow: $323,700HVAC Business in the Outer BanksCurrituck County, NCHighly Profitable Outer Banks HVAC Business - YoY Growth$650,000 Cash Flow: $323,700ContactSave $449,900 Cash Flow: $214,000Profitable Snow Removal and Excavation - Resort CommunityEagle County, COCash-Flowing Vail",https://www.bizquest.com/business-for-sale/hvac-business-in-the-outer-banks/BW2235479/
BizQuest,Currituck County,"$650,000",,"$323,700","Save $650,000 Cash Flow: $323,700HVAC Business in the Outer BanksCurrituck County, NCHighly Profitable Outer Banks HVAC Business - YoY Growth$650,000 Cash Flow: $323,700Contact",https://www.bizquest.com/businesses-for-sale-in-currituck-county-nc/
BizQuest,Eagle County,"$449,900",,"$214,000","Save $449,900 Cash Flow: $214,000Profitable Snow Removal and Excavation - Resort CommunityEagle County, COCash-Flowing Vail Valley Biz | Recurring Revenue | Snow RemovalFinancing Available$449,900 Cash Flow: $214,000Contact",https://www.bizquest.com/businesses-for-sale-in-eagle-county-co/
BizQuest,Palm Desert,"$70,000",,,"Save $70,000 Merry Maids_Palm DesertPalm Desert, CAOwning a Merry Maids franchise in Palm Desert, CA offers a compelling opportunity for entrepreneurial success in a vibrant community. As a franchisee, you'll benefit from the strong brand recognition...$70,000 Contact",https://www.bizquest.com/businesses-for-sale-in-palm-desert-ca/
BizQuest,Cook County,"$400,000",,"$120,000","Save $400,000 Cash Flow: $120,000Ultra High-Margin Snow Removal BusinessCook County, ILIncredibly Fast Growing Snow Plowing Business in ChicagoFinancing Available$400,000 Cash Flow: $120,000Contact",https://www.bizquest.com/businesses-for-sale-in-cook-county-il/
BizQuest,Los Angeles County,"$8,100,000",,,"Save $8,100,000 Profitable, Respected Business with a Blue-Chip Customer BaseLos Angeles County, CAHighly Successful, Long Established Business$8,100,000 Contact",https://www.bizquest.com/businesses-for-sale-in-los-angeles-county-ca/
BizQuest,Cook County,"$195,000",,,"Save $195,000 B2B Print, Promotion & Marketing BusinessCook County, ILGreat Location w/ Repeat Accounts & very profitable$195,000 Contact",https://www.bizquest.com/businesses-for-sale-in-cook-county-il/
BizQuest,See More Franchises,"$50,000",,,"Franchise $50,000 Real Property ManagementAvailable in Multiple LocationsReal Property Management, a Neighborly company, is the nation's leading property management services franchise. See More Franchises$50,000 Franchise",https://www.bizquest.com/franchise-for-sale/business-services-franchises/
BizQuest,Eagle County,"$269,900",,"$123,000","Save $269,900 Cash Flow: $123,000Thriving Carpet Cleaning Company in Central Mountain Resort TownEagle County, COEstablished Carpet Cleaning Company in Ski Resort TownFinancing Available$269,900 Cash Flow: $123,000Contact",https://www.bizquest.com/businesses-for-sale-in-eagle-county-co/
BizQuest,San Diego County,"$140,000",,,"Save $140,000 Profitable Print, Promotional & Marketing Business for SaleSan Diego County, CAProvide Marketing & Branding Solutions to local businesses$140,000 Contact",https://www.bizquest.com/businesses-for-sale-in-san-diego-county-ca/
BizQuest,Maricopa County,"$495,000",,"$183,000","Save $495,000 Cash Flow: $183,000Established East Valley Floral Business with Strong Corporate AccountsMaricopa County, AZSBA Pre-Approved for Qualified Buyer$495,000 Cash Flow: $183,000Contact",https://www.bizquest.com/businesses-for-sale-in-maricopa-county-az/
BizQuest,New Hampshire,"$233,367",,"$233,367","SaveNot DisclosedCash Flow: $233,367Luxury Creative Advertising Agency w/Recurring RevenueNew HampshireFully Systemized, Brand-Recognized, and Built to Scale NationwideFinancing AvailableNot DisclosedCash Flow: $233,367Contact",https://www.bizquest.com/businesses-for-sale-in-new-hampshire-nh/
BizQuest,Baltimore County,"$99,000",,,"Save $99,000 $1M Sign Shop w/Paint Booth- Turn Key OpportunityBaltimore County, MDMotivated Seller----Shop & Asset Sale$99,000 Contact",https://www.bizquest.com/businesses-for-sale-in-baltimore-county-md/
BizQuest,San Luis Obispo County,"$150,000",,,"Save $150,000 B2B Marketing Print & Promo & Marketing BusinessSan Luis Obispo County, CAEvery Business is a Potential Customer$150,000 Contact",https://www.bizquest.com/businesses-for-sale-in-san-luis-obispo-county-ca/
BizQuest,See More Franchises,"$25,000",,,"Franchise $25,000 ATAXAvailable in Multiple LocationsATAX is the fastest growing, full-service national tax preparation and business services franchise, serving our local multicultural communities.See More Franchises$25,000 Franchise",https://www.bizquest.com/franchise-for-sale/business-services-franchises/
BizQuest,Charleston,"$125,000",,,"Save $125,000 Squeegee Squad Franchise Opportunity West VirginiaCharleston, WVWindow Cleaning Business -Pre-Existing Contracts Established$125,000 Contact",https://www.bizquest.com/businesses-for-sale-in-charleston-wv/
BizQuest,San Antonio,"$125,196",,,"$125,196 |San Antonio, TXGreat San Antonio pool routeGreat San Antonio pool routeBusiness Listed By:Arif SealeySealey Business Brokers",https://www.bizquest.com/businesses-for-sale-in-san-antonio-tx/
BizQuest,San Antonio,"$199,900",,,"Save $199,900 San Antonio 4-Unit Popular Home Service Franchise Resale!San Antonio, TXDon't Miss This One!!! Priced Less Than New + Van. Owner Says Sell!!!$199,900 Contact",https://www.bizquest.com/businesses-for-sale-in-san-antonio-tx/
BizQuest,New Jersey,"$769,000",,"$346,000","Save $769,000 Cash Flow: $346,000Wedding venue -beautiful and rustic vibe, with amazing food.New JerseyGreat opportunity.$769,000 Cash Flow: $346,000Contact",https://www.bizquest.com/businesses-for-sale-in-new-jersey-nj/
BizQuest,North Carolina,"$1,750,000",,"$47,241,212","Save $1,750,000 Cash Flow: $472,41212 FedEx P&D Routes - Western North CarolinaNorth CarolinaDeliver profits to your doorstep with this lucrative operation!$1,750,000 Cash Flow: $472,412Contact",https://www.bizquest.com/businesses-for-sale-in-north-carolina-nc/
BizQuest,Santa Barbara,"$750,000",,,"Save $750,000 Turn-Key Marketing Agency w/ High Monthly Recurring RevenueSanta Barbara, CAFounded in 2019, Female-Owned with 5-Star Reputation$750,000 Contact",https://www.bizquest.com/businesses-for-sale-in-santa-barbara-ca/
BizQuest,Lee County,"$375,000",,"$155,000","Save $375,000 Cash Flow: $155,000Very Profitable Marketing, Promo & Printing Business - B2BLee County, FLServing Lee County Businesses$375,000 Cash Flow: $155,000Contact",https://www.bizquest.com/businesses-for-sale-in-lee-county-fl/
BizQuest,See More Franchises,"$100,000",,,"Franchise $100,000 PlumbingProAvailable in Multiple LocationsWant To Be Your Own Boss? Join PlumbingPro, a very lucrative and disruptive service franchise with an Executive Business ModelSee More Franchises$100,000 Franchise",https://www.bizquest.com/franchise-for-sale/home-services-franchises/
BizQuest,See More Franchises,"$50,000",,,"Franchise $50,000 Murphy Business SalesAvailable in Multiple Locations$439,983* Gross Profit. Low Investment. We’ll help you build a profitable, rewarding business and still have time for what matters most.See More Franchises$50,000 Franchise",https://www.bizquest.com/franchise-for-sale/business-services-franchises/
BizQuest,Hanover County,"$625,000",,"$339,250","Save $625,000 Cash Flow: $339,250Commercial Signage and Experiential Graphic Design-Award-WinningHanover County, VABuild On A Great Operation$625,000 Cash Flow: $339,250Contact",https://www.bizquest.com/businesses-for-sale-in-hanover-county-va/
BizQuest,Saint Petersburg,"$126,000",,"$117,300","Save $126,000 Cash Flow: $117,300Great St. Petersburg pool routeSaint Petersburg, FLGuaranteed monthly income!!$126,000 Cash Flow: $117,300Contact",https://www.bizquest.com/businesses-for-sale-in-saint-petersburg-fl/
BizQuest,Fairfield County,"$1,450,000",,"$420,000","Save $1,450,000 Cash Flow: $420,000Facility Services - Commercial Coatings, Painting, & CleaningFairfield County, CTSeller is Retiring - Established/Professional$1,450,000 Cash Flow: $420,000Contact",https://www.bizquest.com/businesses-for-sale-in-fairfield-county-ct/
BizQuest,Carmel-By-The-Sea,"$1,600,000",,"$200,000","Save $1,600,000 Cash Flow: $200,000Carmel By The Sea Real Estate CompanyCarmel-By-The-Sea, CAReal Estate Sales and Property Management$1,600,000 Cash Flow: $200,000Contact",https://www.bizquest.com/businesses-for-sale-in-california-ca/
BizQuest,San Francisco,"$180,000",,,"$180,000 |San Francisco, CAGreat Lifestyle BusinessGreat Lifestyle Business",https://www.bizquest.com/businesses-for-sale-in-san-francisco-ca/
BizQuest,Lake County,"$700,000",,"$600,000","Save $700,000 Cash Flow: $600,000Trailer and container rental and salesLake County, OHOn site storage trailer and container companyFinancing Available$700,000 Cash Flow: $600,000Contact",https://www.bizquest.com/businesses-for-sale-in-lake-county-oh/
BizQuest,See More Franchises,"$50,000",,,"Franchise $50,000 Property Management IncAvailable in Multiple LocationsMaking property management manageable.See More Franchises$50,000 Franchise",https://www.bizquest.com/franchise-for-sale/business-services-franchises/
BizQuest,Lake County,"$99,000",,"$90,000","Save $99,000 Cash Flow: $90,000Carpet, Upholstery, Tile Cleaning + Epoxy and Pavers SealingLake County, FLHigh Profitable Carpet & Surface Cleaning Business – Orlando AreaFinancing Available$99,000 Cash Flow: $90,000Contact",https://www.bizquest.com/businesses-for-sale-in-lake-county-fl/
BizQuest,Kalamazoo County,"$1,194,000",,"$404,573","Save $1,194,000 Cash Flow: $404,573Highly Profitable B2B, Print, Promo & Marketing BusinessKalamazoo County, MIExceptional Opportunity to Own a Thriving B2B Service Provider$1,194,000 Cash Flow: $404,573Contact",https://www.bizquest.com/businesses-for-sale-in-kalamazoo-county-mi/
BizQuest,See More Franchises,"$50,000",,,"Franchise $50,000 Minuteman Press Business ServicesAvailable in Multiple LocationsMinuteman Press is the world's largest & #1 rated digital printing and graphics franchise. With our state of the art technology, proven marketing programs and over 25 regional support offices, we have been able to take",https://www.bizquest.com/franchise-for-sale/business-services-franchises/
